Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,19.6
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,20.5
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,18.6
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,21.1
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,18.4
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,17.3
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,20.3
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,21.7
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,23.8
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,22.2
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,24.6
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,24.4
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,21.8
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,16.7
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,16.1
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years,12.2
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.1
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.0
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.2
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,15.7
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,15.0
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,17.1
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,17.2
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.7
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,17.3
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.2
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.0
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.3
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,13.5
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,12.5
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.3
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,13.9
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.1
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,13.6
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.2
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,13.7
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.3
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,15.8
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.5
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.1
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.1
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.8
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,15.9
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.1
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.8
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.8
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.4
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,16.2
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,14.9
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,12.9
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,13.8
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 18 to 64 years,11.3
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,35.1
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,38.5
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,34.0
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,30.7
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,27.5
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,26.6
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,22.2
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,26.3
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,19.0
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,14.3
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,12.7
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,19.2
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,16.8
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,14.5
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,11.7
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,8.1
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,8.7
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,8.6
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,6.0
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,6.4
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,8.1
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,7.1
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,7.9
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,10.7
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,12.3
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,12.3
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,15.0
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,15.5
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,16.2
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,13.7
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,15.8
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,16.0
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,18.4
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,15.6
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,17.8
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons 65 years and over,18.0
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,19.0
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,16.7
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,20.4
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,18.6
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,17.0
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,19.3
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,18.9
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,19.9
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,18.5
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.4
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.0
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.8
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.5
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,12.7
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.2
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.0
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.3
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.2
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.6
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.3
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.1
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.8
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.0
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,15.0
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.7
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.9
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,15.7
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,16.5
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,17.2
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,16.4
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,16.4
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,15.8
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,14.3
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,12.2
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,13.0
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Males,11.5
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.6
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,20.5
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,22.1
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.0
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,19.6
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.7
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.9
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.9
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,21.6
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,17.7
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,17.5
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,18.7
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.8
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.1
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,17.1
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.5
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.6
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.9
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.9
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.8
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.4
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.8
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.2
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,18.0
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.9
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.2
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,17.6
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,17.9
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,19.1
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,18.6
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,19.5
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,19.7
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,19.1
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,15.7
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,16.5
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Females,13.6
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,19.3
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,17.5
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,20.1
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,18.8
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,16.8
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,19.3
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,19.4
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,19.4
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,18.9
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.1
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.1
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.3
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.3
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,12.9
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.2
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.4
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.1
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.1
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.5
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.3
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.7
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.4
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.0
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.5
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,12.5
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,12.5
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.8
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.8
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.8
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,14.2
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.2
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,15.2
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,13.9
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,10.8
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,11.9
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons in economic families,9.7
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,19.0
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,17.5
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,18.7
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,20.4
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,19.6
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,20.1
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,20.5
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,23.4
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,19.2
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,15.0
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,16.4
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,14.4
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,13.4
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,11.9
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,13.2
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,14.2
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,11.4
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,11.6
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,13.3
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,15.1
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,11.9
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,13.3
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,9.9
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,12.3
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,12.4
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,9.8
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,12.0
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,13.7
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,15.8
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,12.2
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,15.7
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,14.8
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,14.0
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,10.1
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,10.6
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in two-parent families,6.7
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,59.8
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,62.5
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,79.4
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,67.3
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,41.4
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,70.6
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,70.6
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,65.8
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,73.5
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,64.8
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,66.1
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,71.4
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,68.0
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,65.7
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,62.5
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,63.0
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,69.9
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,71.6
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,65.7
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,67.5
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,67.1
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,63.4
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,60.9
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,69.9
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,59.7
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,63.1
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,63.3
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,66.1
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,68.4
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,61.7
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,57.2
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,55.5
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,54.3
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,48.4
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,36.6
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Persons under 18 years in female lone-parent families,32.3
1976,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,34.8
1977,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.7
1978,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,37.0
1979,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,32.6
1980,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,37.9
1981,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,34.8
1982,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.0
1983,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,38.3
1984,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.2
1985,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,26.7
1986,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,23.2
1987,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,32.4
1988,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,28.7
1989,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,28.3
1990,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,29.1
1991,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,22.7
1992,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,26.5
1993,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,27.3
1994,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,25.6
1995,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,21.0
1996,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,23.7
1997,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,26.8
1998,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,26.9
1999,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,31.9
2000,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,31.9
2001,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.3
2002,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,37.5
2003,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,34.1
2004,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,34.3
2005,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,40.1
2006,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,34.4
2007,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.0
2008,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,33.8
2009,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,32.7
2010,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,31.9
2011,New Brunswick,Low income measure after tax,Percentage of persons in low income,Unattached individuals,29.0
1976,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,913
1977,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,948
1978,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,863
1979,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,944
1980,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,936
1981,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,924
1982,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,971
1983,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1033
1984,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1074
1985,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1030
1986,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1013
1987,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,1008
1988,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,957
1989,Quebec,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,834
